CAGDP9 Real GDP by county and metropolitan area 1
CAGDP9 Real GDP by county and metropolitan area 1
County
GeoFips,GeoName,2017,2018,2019,2020,2021,2022
06035,"Lassen, CA",1164870,1164570,1145454,1173062,1146317,1079581
06037,"Los Angeles, CA",720841757,740088358,766866344,728748544,773824541,790016435
06039,"Madera, CA",6023623,6027876,6244195,6240107,6410911,6140436
06041,"Marin, CA",25066955,28016958,29733453,29644699,30358174,30668950
06043,"Mariposa, CA",739708,721057,745255,658783,680334,704140
06045,"Mendocino, CA",3504547,3557209,3510861,3389345,3569466,3519898
06047,"Merced, CA",9136656,9152693,9229029,9094702,9236208,9251611
06049,"Modoc, CA",349468,367778,409155,453496,445301,431710
06051,"Mono, CA",1041898,954421,1029751,929565,1025730,1078682
06053,"Monterey, CA",25923476,26770519,27426311,26964076,27192351,26728936
06055,"Napa, CA",10996519,11046992,10987735,10386964,11381396,11316575
06057,"Nevada, CA",4271659,4290012,4381871,4274263,4456112,4543195
06059,"Orange, CA",244438165,251165771,257959284,252505652,268128135,270440831
06061,"Placer, CA",21945008,23346285,23899004,23832648,26061039,26571231
06063,"Plumas, CA",1006184,918785,1020522,890698,821869,893623
06065,"Riverside, CA",84070198,87407109,90583356,88835097,94364944,95159114
06067,"Sacramento, CA",86961022,90453770,94028313,92019955,97236248,98990166
06069,"San Benito, CA",2152903,2200019,2346845,2187319,2306012,2261595
06071,"San Bernardino, CA",87133086,89804064,94078804,93729451,99325961,100649568
06073,"San Diego, CA",224767520,230518588,236250458,232701672,250063598,257341197
06075,"San Francisco, CA",172992477,187132022,202552979,210152550,239696745,233953076
06077,"San Joaquin, CA",29141656,30299585,31216949,30957345,33356039,32624193
06079,"San Luis Obispo, CA",16779957,17200943,17239485,16943323,17484003,17761567
06081,"San Mateo, CA",126396261,134116314,140568773,144137263,163395545,165414201
06083,"Santa Barbara, CA",27474155,28505410,28901426,29367094,31365482,31147307
06085,"Santa Clara, CA",280510581,302411788,318506750,339750453,385798950,382786734
06087,"Santa Cruz, CA",13941610,14363961,15339913,15222100,16385408,16408162
06089,"Shasta, CA",8147396,7889537,8349619,8133732,8172559,8126075
06091,"Sierra, CA",89556,94635,97291,89131,88040,96666
06093,"Siskiyou, CA",1637738,1645228,1636399,1639757,1601502,1594553
06095,"Solano, CA",22725056,25846912,29784508,30144992,30523673,28736277
06097,"Sonoma, CA",28853518,30213474,30422053,29521868,31391109,31368529
06099,"Stanislaus, CA",22191928,22810079,23293606,22610630,23527205,23457778
06101,"Sutter, CA",3235371,3488411,3468960,3553806,3809954,3861722
06103,"Tehama, CA",1932232,1927044,2016766,2043161,2057804,1986742
06105,"Trinity, CA",413913,400158,395339,406065,379121,370586
06107,"Tulare, CA",17426838,17686115,18501702,18133092,18291332,18098172
06109,"Tuolumne, CA",2608796,2388479,2562972,2297906,2306557,2364198
06111,"Ventura, CA",50165884,50754467,51639533,51144528,52906964,52689371
06113,"Yolo, CA",14319346,14899646,15432370,14888664,15525328,15675696
06115,"Yuba, CA",3106720,3191495,3312133,3186597,3204018,3152201
08001,"Adams, CO*",25629536,26745667,28242423,28432213,30195165,30417710
08003,"Alamosa, CO",656089,687174,714134,676575,697480,667241
08005,"Arapahoe, CO",45628689,47721938,48935672,49356384,51060223,51907882
08007,"Archuleta, CO",499020,509816,524554,512192,543524,536520
08009,"Baca, CO",167812,136202,109199,110069,126937,90865
08011,"Bent, CO",113410,136479,130200,126269,129021,104847
08013,"Boulder, CO*",26255861,27218834,29675687,29149041,31164647,32366443
08014,"Broomfield, CO*",7152362,6908941,7769186,8410904,9220035,9875420
08015,"Chaffee, CO",744883,783660,812696,803655,877366,923483
08017,"Cheyenne, CO",143681,139003,152796,157189,268021,225906
08019,"Clear Creek, CO",492621,426047,510813,458996,453180,489076
08021,"Conejos, CO",196127,208363,202589,197039,200227,146533
08023,"Costilla, CO",86418,87774,90373,83847,80248,80316
08025,"Crowley, CO",117861,129823,118957,116982,118584,81960
08027,"Custer, CO",122418,126262,138599,133029,152786,161211
08029,"Delta, CO",747169,816579,857113,865487,848581,864046
08031,"Denver, CO",72913266,76501380,81847452,81106700,90125050,96723136
08033,"Dolores, CO",139048,110303,109603,99324,96343,97584
08035,"Douglas, CO",17850792,19136954,19732560,20685090,21882857,23055766
08037,"Eagle, CO",4000278,4183223,4269058,4064792,4603031,4766584
08039,"Elbert, CO",576147,636105,713323,707248,781676,786665
08041,"El Paso, CO",34131315,35334122,36754546,37861027,39902458,40283198
08043,"Fremont, CO",1380235,1414524,1421765,1415918,1475276,1514276
08045,"Garfield, CO",3720260,3634763,3734069,3569193,3739932,3576538
08047,"Gilpin, CO",670659,621581,621252,531034,667277,703080
08049,"Grand, CO",915143,968510,984840,886555,999197,1022285
08051,"Gunnison, CO",1060107,1076991,1063392,990435,1066040,1180904
08053,"Hinsdale, CO",38617,39405,39441,36973,38137,40578
08055,"Huerfano, CO",227683,219755,218418,231406,247614,242371
08057,"Jackson, CO",103647,124216,139458,112830,107896,90327
08059,"Jefferson, CO*",30903284,32092392,33509272,33187800,34621810,35362942
08061,"Kiowa, CO",50289,50158,73791,62621,92820,39361
08063,"Kit Carson, CO",327085,289951,370051,350799,493936,400534
08065,"Lake, CO",271384,275792,306526,301141,318068,344487
08067,"La Plata, CO",3233107,3173002,3123825,2992923,3141564,3067952
08069,"Larimer, CO",18593761,19479555,20425737,20431541,21886159,22240217
08071,"Las Animas, CO",539999,535381,530881,523743,505527,472329
08073,"Lincoln, CO",362548,354549,358089,365401,382573,348018
08075,"Logan, CO",1033765,1005632,982461,911750,1037893,989351
08077,"Mesa, CO",6404009,6686313,6825311,6634541,6885621,6892730
08079,"Mineral, CO",56692,58382,59598,51285,59180,62174
08081,"Moffat, CO",1040034,965438,1004112,1005486,1053681,1082175
08083,"Montezuma, CO",1587012,1353868,1425441,1229433,1323197,1241890
08085,"Montrose, CO",1466326,1551506,1604966,1574154,1625362,1646722
08087,"Morgan, CO",1466745,1589823,1541163,1468908,1516862,1354877
08089,"Otero, CO",520217,555137,579074,565897,582018,529354
08091,"Ouray, CO",187395,194289,207696,213027,265904,242025
08093,"Park, CO",392813,397503,422958,413268,453440,477523
08095,"Phillips, CO",171286,184742,189693,179572,197724,166179
08097,"Pitkin, CO",2291500,2384362,2412710,2182437,2479414,2667189
08099,"Prowers, CO",475525,502363,495901,443432,506399,397143
08101,"Pueblo, CO",5971695,6176243,6417332,6179360,6616075,6510540
08103,"Rio Blanco, CO",563714,534867,582577,557718,567205,550209
08105,"Rio Grande, CO",413570,453992,470645,465819,437544,369167
08107,"Routt, CO",1896125,1917714,2030834,1861306,2115227,2241414
08109,"Saguache, CO",170233,194163,216669,189414,195640,159703
08111,"San Juan, CO",36309,34794,36106,33144,38088,39700
08113,"San Miguel, CO",623440,624111,652216,616683,755060,785429
08115,"Sedgwick, CO",61292,67647,75647,66436,80213,63212
08117,"Summit, CO",2567194,2676051,2759136,2546647,2861880,2974044
08119,"Teller, CO",955644,907825,957666,993924,1024376,1048247
08121,"Washington, CO",132773,135033,150548,129039,168627,121710
08123,"Weld, CO*",18534036,20592662,21722559,19737477,20178684,18410721
08125,"Yuma, CO",427156,427341,464330,399874,435858,366139
09001,"Fairfield, CT",91838477,90874828,88934335,83855524,87235525,90361060
09003,"Hartford, CT",85794244,85758376,86102668,79709107,83341632,85951890
09005,"Litchfield, CT",8067891,8150107,8315237,8093020,8736437,9056222
09007,"Middlesex, CT",9484913,9725221,9772486,9146260,9351538,9680844
09009,"New Haven, CT",49698505,50711147,51494190,49996059,52016888,52659909
09011,"New London, CT",18942592,19248308,19209683,17957743,18262159,18792350
09013,"Tolland, CT",5337593,5404431,5492343,5107898,5212167,5351325
09015,"Windham, CT",4710856,4713386,4906700,4758386,4697941,4827252
10001,"Kent, DE",7633026,7813320,8384005,8000617,8254518,8312232
10003,"New Castle, DE",49730862,50310701,52410571,51226928,52034009,52459336
10005,"Sussex, DE",12191740,12734790,13811749,13330228,14154897,14407861
11001,"District of Columbia, DC",134298772,138056788,138867379,137762271,142676290,144029597
12001,"Alachua, FL",13230632,13699099,14070148,13996423,14937482,15415264
12003,"Baker, FL",664447,649576,651384,704618,735779,746597
12005,"Bay, FL",8391383,8572539,8658254,8771093,9501883,9794242
12007,"Bradford, FL",654602,662870,617665,651723,638836,652739
12009,"Brevard, FL",24133063,25244764,26348425,26587950,29191295,30082101
12011,"Broward, FL",104703408,107817123,111228607,109429320,119327415,124843480
12013,"Calhoun, FL",271085,268383,272338,280156,298154,298501
12015,"Charlotte, FL",5181236,5363641,5658676,5983852,6234758,6475991
12017,"Citrus, FL",3704389,3890477,4147491,4208962,4459685,4615213
12019,"Clay, FL",5191434,5408093,5504610,5477250,5843169,6039501
12021,"Collier, FL",18972217,19603770,20295361,20239264,22806993,23677213
12023,"Columbia, FL",2136953,2223072,2297452,2342595,2341993,2332181
12027,"DeSoto, FL",932062,904266,965758,938427,940852,989688
12029,"Dixie, FL",280617,275155,270140,294032,280787,272996
12031,"Duval, FL",62868205,64655963,67313811,67932413,72733497,76660524
12033,"Escambia, FL",15781399,15717393,16016044,15938497,17083352,17254591
12035,"Flagler, FL",2695378,2732786,2866294,2978154,3212415,3379603
12037,"Franklin, FL",337899,346410,356694,355390,367050,385534
12039,"Gadsden, FL",1225492,1220199,1239370,1311791,1231259,1221089
12041,"Gilchrist, FL",330710,343291,348400,402834,378142,360989
12043,"Glades, FL",277226,291236,318548,310787,297174,315403
12045,"Gulf, FL",387076,389414,400419,423598,453034,475457
12047,"Hamilton, FL",472185,530310,499562,492787,502456,534170
12049,"Hardee, FL",1037682,964031,956907,955355,945501,1005913
12051,"Hendry, FL",1192855,1253838,1284413,1338746,1306965,1339088
12053,"Hernando, FL",4036623,4236734,4294368,4358989,4659852,4845571
12055,"Highlands, FL",2482118,2420183,2564490,2453455,2513431,2666455
12057,"Hillsborough, FL",87528485,90751683,94479878,95989002,104157662,109736885
12059,"Holmes, FL",349936,345478,366503,354703,379532,404221
12061,"Indian River, FL",6355422,6668941,6828186,6937570,7895295,7901043
12063,"Jackson, FL",1312518,1322421,1345118,1321265,1330866,1303591
12065,"Jefferson, FL",250290,241506,249572,247793,261044,260172
12067,"Lafayette, FL",150811,156469,131996,140450,143138,162799
12069,"Lake, FL",9661005,9929514,10161856,10460591,11333699,11869072
12071,"Lee, FL",31283529,32564768,33089321,33048241,35789303,37489983
12073,"Leon, FL",14927969,14998216,15296800,14920892,16018602,16867731
12075,"Levy, FL",922164,922866,916269,988048,1011795,924886
12077,"Liberty, FL",183216,180721,261273,299632,291037,269186
12079,"Madison, FL",408978,440297,409761,426723,427944,453130
12081,"Manatee, FL",14216885,14906415,15780295,15536245,16892032,17556802
12083,"Marion, FL",9763722,10173070,10291593,10698622,11457254,11682542
12085,"Martin, FL",7438578,7744419,7752528,8370060,8291578,8801544
12086,"Miami-Dade, FL",159539066,166478173,167321203,156638289,174396302,184513444
12087,"Monroe, FL",4924206,4939427,5207848,4966713,5570690,5914857
12089,"Nassau, FL",2646890,2693033,2881647,3021533,3281865,3438877
12091,"Okaloosa, FL",11313087,11793538,12423158,12790604,13777331,14067684
12093,"Okeechobee, FL",1253574,1152401,1541346,1651855,1608153,1737364
12095,"Orange, FL",95077001,98406187,101440588,95182258,107983785,115012917
12097,"Osceola, FL",10505768,10833526,11594422,11253659,12407249,13276516
12099,"Palm Beach, FL",82713425,85555960,87095128,87415511,96812350,100113799
12101,"Pasco, FL",12596629,13038305,13722020,13964893,15458249,16064543
12103,"Pinellas, FL",48499271,50017118,50823168,51176720,54741510,57077799
12105,"Polk, FL",25742485,26450032,27402843,28204116,29827560,30523799
12107,"Putnam, FL",2125357,2183267,2176041,2256793,2136212,2166268
12109,"St. Johns, FL",8970720,9586921,10025749,10716450,11721991,12581337
12111,"St. Lucie, FL",9305423,9570887,9712946,10073193,10832170,11200099
12113,"Santa Rosa, FL",4429464,4722334,4832487,4945621,5247338,5510110
12115,"Sarasota, FL",20195020,21289883,21887546,22266839,23340358,24245059
12117,"Seminole, FL",20979506,22031328,22937165,23160228,24754135,25601950
12119,"Sumter, FL",3208200,3392818,3769715,3829805,4464154,4810632
12121,"Suwannee, FL",1217082,1259159,1112200,1143005,1196097,1349099
12123,"Taylor, FL",759467,774468,731177,774112,723620,713405
12125,"Union, FL",314461,309183,306648,314859,334794,345288
12127,"Volusia, FL",17886662,18452820,18751320,18867106,19801014,20209249
12129,"Wakulla, FL",705267,711375,747412,753135,798539,815355
12131,"Walton, FL",3072674,3197506,3439071,3507457,4089495,4272984
12133,"Washington, FL",560275,563071,592251,603131,632470,634762
13001,"Appling, GA",1535236,1472193,1528272,1640886,1529807,1710046
13003,"Atkinson, GA",232974,237011,241076,236220,244818,246038
13005,"Bacon, GA",361403,356861,354973,354173,344963,371667
13007,"Baker, GA",66476,69454,72715,68161,72292,64455
13009,"Baldwin, GA",1337656,1337951,1397628,1298799,1392897,1427458
13011,"Banks, GA",413116,431296,413171,383754,413690,503310
13013,"Barrow, GA",2085333,2235177,2279343,2367211,2512231,2637067
13015,"Bartow, GA",4889399,4983012,5034135,4979678,5151554,5358344
13017,"Ben Hill, GA",529336,550061,525686,532383,563711,557514
